name,company,image,for_gender,rating,number_votes,main accords,description,top notes,middle notes,base notes,longevity,sillage,gender_vote,price value
Mon Guerlain,Guerlain,https://fimgs.net/mdimg/perfume/375x500.43297.jpg,for women,4.02,8239,"{'vanilla': 100.0, 'woody': 69.2405, 'lavender': 68.872, 'aromatic': 67.9797, 'powdery': 63.301, 'balsamic': 59.0353, 'sweet': 59.0209, 'warm spicy': 52.655, 'fresh spicy': 47.8729, 'iris': 46.8772}","Mon Guerlain by Guerlain is a Oriental Woody fragrance for women. Mon Guerlain was launched in 2017. Mon Guerlain was created by Thierry Wasser and Delphine Jelk. Top notes are Lavender and Bergamot; middle notes are iris, Jasmine Sambac and Rose; base notes are Tahitian Vanilla, Coumarin, Australian Sandalwood, Benzoin, Licorice and Patchouli. Angelina Jolie was chosen as the face of the new perfume from the house of Guerlain, Mon Guerlain, coming out in March 2017. Jacques Guerlain said: ""We create perfumes for the women we admire."" Thierry Wasser was inspired by the ""notes of a woman"", or ""the choices, emotions and dreams that embody modern femininity."" The fragrance will be launched for the international market, with the notes of lavender and vanilla. Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Lavender', 'Bergamot']","['iris', 'Jasmine Sambac', 'Rose']","['Tahitian Vanilla', 'Coumarin', 'Australian Sandalwood', 'Benzoin', 'Licorice', 'Patchouli']","{'very weak': 210, 'weak': 279, 'moderate': 960, 'long lasting': 859, 'eternal': 391}","{'intimate': 574, 'moderate': 1511, 'strong': 790, 'enormous': 584}","{'female': 402, 'more female': 81, 'unisex': 33, 'more male': 1, 'male': 1}","{'way overpriced': 19, 'overpriced': 88, 'ok': 271, 'good value': 65, 'great value': 6}"
Delina,Parfums de Marly,https://fimgs.net/mdimg/perfume/375x500.43871.jpg,for women,4.13,2325,"{'rose': 100.0, 'floral': 94.1626, 'fresh': 84.2662, 'fruity': 83.0169, 'musky': 57.9651, 'green': 56.8467, 'aromatic': 56.0829, 'tropical': 54.2881, 'powdery': 53.8898, 'woody': 53.5843}","Delina by Parfums de Marly is a Floral fragrance for women. Delina was launched in 2017. The nose behind this fragrance is Quentin Bisch. Top notes are Litchi, Rhubarb, Bergamot and Nutmeg; middle notes are Turkish Rose, Peony, Musk, Petalia and Vanilla; base notes are Cashmeran, Cedar, Haitian Vetiver and Incense.  Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Litchi', 'Rhubarb', 'Bergamot', 'Nutmeg']","['Turkish Rose', 'Peony', 'Musk', 'Petalia', 'Vanilla']","['Cashmeran', 'Cedar', 'Haitian Vetiver', 'Incense']","{'very weak': 56, 'weak': 81, 'moderate': 190, 'long lasting': 318, 'eternal': 310}","{'intimate': 161, 'moderate': 477, 'strong': 490, 'enormous': 471}","{'female': 267, 'more female': 20, 'unisex': 4, 'more male': 2, 'male': 3}","{'way overpriced': 112, 'overpriced': 103, 'ok': 56, 'good value': 11, 'great value': 6}"
Red Tobacco,Mancera,https://fimgs.net/mdimg/perfume/375x500.46663.jpg,for women and men,4.13,1836,"{'warm spicy': 100.0, 'tobacco': 97.255, 'woody': 78.933, 'sweet': 75.4138, 'vanilla': 67.6653, 'amber': 65.6783, 'cinnamon': 64.6329, 'oud': 60.9622, 'powdery': 59.1028, 'fruity': 57.822}","Red Tobacco by Mancera is a Woody Spicy fragrance for women and men. Red Tobacco was launched in 2017. Top notes are Cinnamon, Agarwood (Oud), Saffron, Incense, Nutmeg, Green Apple and White Pear; middle notes are Patchouli and Jasmine; base notes are Tobacco, Madagascar Vanilla, Amber, Sandalwood, Guaiac Wood, White Musk and Haitian Vetiver.  Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Cinnamon', 'Agarwood (Oud)', 'Saffron', 'Incense', 'Nutmeg', 'Green Apple', 'White Pear']","['Patchouli', 'Jasmine']","['Tobacco', 'Madagascar Vanilla', 'Amber', 'Sandalwood', 'Guaiac Wood', 'White Musk', 'Haitian Vetiver']","{'very weak': 54, 'weak': 47, 'moderate': 85, 'long lasting': 350, 'eternal': 699}","{'intimate': 93, 'moderate': 259, 'strong': 663, 'enormous': 639}","{'female': 10, 'more female': 11, 'unisex': 151, 'more male': 168, 'male': 169}","{'way overpriced': 14, 'overpriced': 36, 'ok': 203, 'good value': 137, 'great value': 70}"
Baccarat Rouge 540 Extrait de Parfum,Maison Francis Kurkdjian,https://fimgs.net/mdimg/perfume/375x500.46066.jpg,for women and men,4.28,2370,"{'amber': 100.0, 'almond': 97.7462, 'woody': 86.6099, 'warm spicy': 80.0341, 'animalic': 78.3172, 'nutty': 70.6477, 'fruity': 63.8731, 'musky': 61.8182, 'white floral': 60.8902, 'sweet': 56.893}","Baccarat Rouge 540 Extrait de Parfum by Maison Francis Kurkdjian is a Oriental Floral fragrance for women and men. Baccarat Rouge 540 Extrait de Parfum was launched in 2017. The nose behind this fragrance is Francis Kurkdjian. Top notes are Bitter Almond and Saffron; middle notes are Egyptian Jasmine and Cedar; base notes are Ambergris, Musk and Woody Notes.  Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Bitter Almond', 'Saffron']","['Egyptian Jasmine', 'Cedar']","['Ambergris', 'Musk', 'Woody Notes']","{'very weak': 63, 'weak': 52, 'moderate': 116, 'long lasting': 257, 'eternal': 594}","{'intimate': 147, 'moderate': 314, 'strong': 537, 'enormous': 523}","{'female': 81, 'more female': 84, 'unisex': 192, 'more male': 15, 'male': 8}","{'way overpriced': 181, 'overpriced': 93, 'ok': 60, 'good value': 20, 'great value': 16}"
Aura Mugler,Mugler,https://fimgs.net/mdimg/perfume/375x500.45639.jpg,for women,3.63,5716,"{'green': 100.0, 'woody': 83.7937, 'vanilla': 79.2484, 'sweet': 73.8537, 'fruity': 63.2581, 'aromatic': 59.9731, 'white floral': 58.7402, 'citrus': 52.5367, 'powdery': 48.7833}","Aura Mugler by Mugler is a Oriental fragrance for women. Aura Mugler was launched in 2017. Aura Mugler was created by Daphne Bugey, Amandine Clerc-Marie, Christophe Raynaud and Marie Salamagne. Top notes are Rhubarb Leaf and Bergamot; middle notes are Green Notes, Orange Blossom, Ylang-Ylang and Pear; base notes are Bourbon Vanilla, Woody Notes, Amberwood, Sandalwood and Coumarin. AURA MUGLER by Mugler is a Woody Aromatic fragrance for women. This is a new fragrance. AURA MUGLER was launched in 2017. AURA MUGLER was created by Daphne Bugey, Amandine Clerc-Marie, Christophe Raynaud and Marie Salamagne. The fragrance features rhubarb leaf, tiger liana, orange blossom, bourbon vanilla and wolfwood notes. Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Rhubarb Leaf', 'Bergamot']","['Green Notes', 'Orange Blossom', 'Ylang-Ylang', 'Pear']","['Bourbon Vanilla', 'Woody Notes', 'Amberwood', 'Sandalwood', 'Coumarin']","{'very weak': 90, 'weak': 122, 'moderate': 446, 'long lasting': 742, 'eternal': 385}","{'intimate': 294, 'moderate': 798, 'strong': 811, 'enormous': 575}","{'female': 162, 'more female': 102, 'unisex': 88, 'more male': 7, 'male': 1}","{'way overpriced': 7, 'overpriced': 44, 'ok': 175, 'good value': 58, 'great value': 10}"
Black Phantom,By Kilian,https://fimgs.net/mdimg/perfume/375x500.43632.jpg,for women and men,4.27,2146,"{'sweet': 100.0, 'warm spicy': 92.2229, 'caramel': 71.3151, 'coffee': 68.8129, 'chocolate': 66.5435, 'rum': 64.309, 'woody': 61.6613, 'almond': 59.4734, 'powdery': 46.9857, 'vanilla': 46.5319}","Black Phantom by By Kilian is a Oriental Vanilla fragrance for women and men. Black Phantom was launched in 2017. The nose behind this fragrance is Sidonie Lancesseur.  Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",[],"['Dark Chocolate', 'Rum', 'Caramel', 'Coffee', 'Sugar Cane', 'Almond', 'Sandalwood', 'Heliotrope']",[],"{'very weak': 68, 'weak': 70, 'moderate': 191, 'long lasting': 316, 'eternal': 422}","{'intimate': 162, 'moderate': 447, 'strong': 388, 'enormous': 547}","{'female': 14, 'more female': 21, 'unisex': 167, 'more male': 95, 'male': 38}","{'way overpriced': 69, 'overpriced': 93, 'ok': 75, 'good value': 46, 'great value': 6}"
Girl of Now,Elie Saab,https://fimgs.net/mdimg/perfume/375x500.45686.jpg,for women,4.01,2624,"{'almond': 100.0, 'sweet': 91.6913, 'nutty': 90.7965, 'fruity': 85.8935, 'woody': 79.3774, 'citrus': 63.1252, 'amber': 60.453, 'vanilla': 58.7609, 'floral': 56.0522, 'white floral': 55.8087}","Girl of Now by Elie Saab is a Oriental Floral fragrance for women. Girl of Now was launched in 2017. Girl of Now was created by Dominique Ropion and Sophie Labbe. Top notes are Pistachio, Pear and Mandarin Orange; middle notes are Almond, Orange Blossom and Magnolia; base notes are Almond Milk, Tonka Bean, Cashmeran and Patchouli. Girl of Now by Elie Saab is a Oriental Floral fragrance for women. This is a new fragrance. Girl of Now was launched in 2017. Top notes are mandarin orange, pear and pistachio; middle notes are orange blossom, magnolia and almond; base notes are patchouli, cashmeran, tonka bean and almond milk. Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Pistachio', 'Pear', 'Mandarin Orange']","['Almond', 'Orange Blossom', 'Magnolia']","['Almond Milk', 'Tonka Bean', 'Cashmeran', 'Patchouli']","{'very weak': 58, 'weak': 95, 'moderate': 273, 'long lasting': 441, 'eternal': 156}","{'intimate': 151, 'moderate': 517, 'strong': 509, 'enormous': 357}","{'female': 216, 'more female': 16, 'unisex': 6, 'more male': 1, 'male': 0}","{'way overpriced': 6, 'overpriced': 34, 'ok': 96, 'good value': 80, 'great value': 12}"
Light Blue Eau Intense Pour Homme,Dolce&Gabbana,https://fimgs.net/mdimg/perfume/375x500.44035.jpg,for men,4.17,2083,"{'aromatic': 100.0, 'citrus': 97.2181, 'marine': 86.803, 'fresh spicy': 64.6437, 'woody': 60.5188, 'salty': 52.7212, 'amber': 47.5411, 'musky': 47.3355, 'aquatic': 47.0409}","Light Blue Eau Intense Pour Homme by Dolce&Gabbana is a Woody Aquatic fragrance for men. Light Blue Eau Intense Pour Homme was launched in 2017. The nose behind this fragrance is Alberto Morillas. Top notes are Grapefruit and Mandarin Orange; middle notes are Sea water and Juniper; base notes are Amberwood and Musk. Light Blue Pour Homme Eau Intense is developed by Alberto Morillas. The fragrance opens with citrusy notes of mandarin and frozen grapefruit. The heart of juniper and a salty marine accord is wrapped up by the base of amber wood and musk.It is available as a 50, 100 and 200 ml Eau de Parfum. Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Grapefruit', 'Mandarin Orange']","['Sea water', 'Juniper']","['Amberwood', 'Musk']","{'very weak': 76, 'weak': 92, 'moderate': 316, 'long lasting': 676, 'eternal': 107}","{'intimate': 169, 'moderate': 571, 'strong': 532, 'enormous': 217}","{'female': 2, 'more female': 1, 'unisex': 18, 'more male': 90, 'male': 147}","{'way overpriced': 6, 'overpriced': 37, 'ok': 120, 'good value': 65, 'great value': 12}"
Scandal,Jean Paul Gaultier,https://fimgs.net/mdimg/perfume/375x500.45651.jpg,for women,3.7800000000000002,3088,"{'honey': 100.0, 'sweet': 78.1837, 'white floral': 68.5579, 'citrus': 60.0998, 'patchouli': 53.7305, 'caramel': 52.2581, 'animalic': 52.1091, 'beeswax': 50.8747, 'floral': 48.2688, 'woody': 46.8477}","Scandal by Jean Paul Gaultier is a Chypre Floral fragrance for women. Scandal was launched in 2017. Scandal was created by Daphne Bugey, Fabrice Pellegrin and Christophe Raynaud. Top notes are Blood Orange and Mandarin Orange; middle notes are Honey, Gardenia, Orange Blossom, Jasmine and Peach; base notes are Beeswax, Patchouli, Caramel and Licorice. New pillar fragrance from Jean Paul Gaultier is launched in June 2017 in collaboration with PUIG and named SCANDAL. Scandal is designed to break all clichés, offering something new and modern, and at the same time powerful and elegant. The key notes of the composition are blood orange, honey, patchouli and gardenia, which united share a creamy, earthy and balsamic gourmet effect, with warm, deep, woody undertones. The bottle of the new fragrance SCANDAL is made of transparent glass while the stopper is designed in the sculptural form of female legs in a golden color. This is the first fragrance of Jean Paul Gaultier launched with Puig company. The brand stated that they wanted to offer a different version of previous fragrances from the Jean Paul Gaultier collection respecting the well-known DNA of the brand and ""to stop the fever of limited editions."" The goal is to create something more spicy, festive, sexy and fun, from the bottle to the campaign. The advertising campaign was created as a mix of sex and politics. “We decided to tell the life of ‘Madame La Ministre.’ She’s a government minister who goes partying at night in Paris’ Pigalle neighborhood and makes her way directly into the office for her day job. The advertising face is model Vanessa Axente, leaving a club in a form-fitting black number. In her waiting car, filled with friends, she’s literally cut out of the outfit as her car speeds through the streets of Paris toward the Élysée Palace, where she steps out elegantly in a tailored outfit to join colleagues,"" explains Jose Manuel Albesa, chief brand officer of Puig. Scandal is available in 30 ml Eau de Parfum; 50ml Eau de Parfum and 80 ml Eau de Parfum. In addition to the Eau de Parfum, the collection also includes perfumed body care products: a Shower Gel of 200ml and a Body Lotion of 200ml. Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Blood Orange', 'Mandarin Orange']","['Honey', 'Gardenia', 'Orange Blossom', 'Jasmine', 'Peach']","['Beeswax', 'Patchouli', 'Caramel', 'Licorice']","{'very weak': 39, 'weak': 79, 'moderate': 228, 'long lasting': 459, 'eternal': 356}","{'intimate': 138, 'moderate': 455, 'strong': 598, 'enormous': 436}","{'female': 217, 'more female': 24, 'unisex': 3, 'more male': 2, 'male': 0}","{'way overpriced': 10, 'overpriced': 35, 'ok': 121, 'good value': 38, 'great value': 3}"
Fucking Fabulous,Tom Ford,https://fimgs.net/mdimg/perfume/375x500.46513.jpg,for women and men,3.74,2372,"{'aromatic': 100.0, 'vanilla': 91.4561, 'leather': 91.1555, 'almond': 87.84, 'amber': 79.0319, 'sweet': 78.1028, 'woody': 72.8107, 'lavender': 70.8979, 'powdery': 70.6884, 'nutty': 64.704}","Fucking Fabulous by Tom Ford is a Leather fragrance for women and men. Fucking Fabulous was launched in 2017. Top notes are Clary Sage and Lavender; middle notes are Bitter Almond, Leather, Vanilla and Orris; base notes are Leather, Tonka Bean, Cashmeran, White Woods and Amber. Tom Ford presents a new limited edition called Fucking Fabulous from his exclusive Private Blend perfume line during the New York Fashion Week in September 2017. Key ingredients of the composition include bitter almond oil, tonka bean, orris root, leather, cashmerean and clary sage oil. Tom Ford Fucking Fabulous is available on September 7th at Tom Ford boutiques and on the official site as a 50 ml Eau de Parfum. Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Clary Sage', 'Lavender']","['Bitter Almond', 'Leather', 'Vanilla', 'Orris']","['Leather', 'Tonka Bean', 'Cashmeran', 'White Woods', 'Amber']","{'very weak': 143, 'weak': 94, 'moderate': 244, 'long lasting': 351, 'eternal': 145}","{'intimate': 260, 'moderate': 470, 'strong': 418, 'enormous': 327}","{'female': 6, 'more female': 13, 'unisex': 161, 'more male': 74, 'male': 23}","{'way overpriced': 122, 'overpriced': 77, 'ok': 29, 'good value': 13, 'great value': 6}"
Gucci Guilty Absolute,Gucci,https://fimgs.net/mdimg/perfume/375x500.43040.jpg,for men,4.01,2893,"{'woody': 100.0, 'leather': 79.299, 'aromatic': 58.6796, 'animalic': 54.6495, 'earthy': 49.2421, 'patchouli': 47.2678, 'smoky': 44.7897}","Gucci Guilty Absolute by Gucci is a Oriental Woody fragrance for men. Gucci Guilty Absolute was launched in 2017. The nose behind this fragrance is Alberto Morillas. Top note is Leather; middle notes are Cypress and Patchouli; base notes are Woody Notes and Vetiver. Gucci Guilty Absolute, the new edition of the masculine Gucci Guilty fragrance, comes out in early 2017. It is the product of collaboration between the creative director of the Gucci house Alessandro Michele and perfumer Alberto Morillas. 
<š> The top notes include leather. The heat is made of patchouli and the base captures goldenwood and vetiver.
From the brand: „Created using a particular blend with a structure that remains unchanged from the first time it is applied to the skin. Leather accord and goldenwood are custom-mixed with natural extract of the Nootka Cypress, selected especially for Gucci Guilty Absolute. The resulting scent features ultra-dry woody notes. The fragrance’s composition is intensified with three forms of patchouli oils and earthy vetiver.“
Available as a 90 and 150 ml eau de Parfum. Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",['Leather'],"['Cypress', 'Patchouli']","['Woody Notes', 'Vetiver']","{'very weak': 83, 'weak': 86, 'moderate': 351, 'long lasting': 597, 'eternal': 332}","{'intimate': 176, 'moderate': 651, 'strong': 595, 'enormous': 321}","{'female': 1, 'more female': 0, 'unisex': 47, 'more male': 38, 'male': 289}","{'way overpriced': 13, 'overpriced': 19, 'ok': 126, 'good value': 109, 'great value': 85}"
Gucci Bloom,Gucci,https://fimgs.net/mdimg/perfume/375x500.44894.jpg,for women,3.77,3783,"{'white floral': 100.0, 'tuberose': 62.2714}","Gucci Bloom by Gucci is a Floral fragrance for women. Gucci Bloom was launched in 2017. The nose behind this fragrance is Alberto Morillas. Top note is Jasmine; middle note is Tuberose; base note is Rangoon creeper. Gucci Bloom: Debuting the First Fragrance by Alessandro Michele: “I wanted a green fragrance, a courageous scent that transports you to a vastgarden filled with many flowers and plants, a bouquet of abundance. The garden is as beautiful as women are; colorful, wild, diverse, where there is everything. GucciBloom smells of this garden in order to travel to a place that is not there,” Alessandro Michele. Flowering from the authentic spirit of the women Alessandro Michele champions is an attitude of freedom to be who you want to be. Mixed with the color, decoration and pattern of the creative director’s design canon, the women he dresses are flourishing in a natural, expressive and individual way: they are in bloom. The first Gucci fragrance developed wholly under Alessandro Michele’s creative vision encapsulates this modern philosophy that is the guiding vision for the House.
Gucci Bloom celebrates the authenticity, vitality and diversity of the women he designs for, and those that identify themselves in his vision. True to who they are, these young women experience life and its fruits, blooming into their real selves. They convey their personal point-of-view without conventional limitations. They live for memorable experiences, to create stories and connect and be inspired by the objects, culture and art they choose to be surrounded by. Architect of every element of the scent, Alessandro Michele has infused Gucci Bloom’s idea of lushness, life and vigor in each fragrant note, the dreamy campaign and its unconventional design.
 
ABOUT THE SCENT:  Blended by master perfumer Alberto Morillas with direction from Alessandro Michele, the fragrance is created to unfold like its name. The creative director envisioned the scent as a thriving garden full of diverse types of flowers and the rich perfume it emits.
 
Authenticity is woven through qualitative, highly-concentrated natural ingredients.
Notes blossom out like a concentration of flowers, the unique expression of the new to the world ingredients, brings a new olfactory experience. Natural Tuberose absolute harvested from India is interlaced with natural Jasmine absolute. Jasmine bud extract, obtained through an exclusive method of co-extraction that blends a natural quality of jasmine and captive moleculesto impart a fresh green and petal scent on the skin. Gucci Bloom also features notes of another plant used in perfume-making for the first time, the Rangoon Creeper. Discovered in South India, the Rangoon Creeper embodies the new scent’s concept and name, as it changes color from white, gradually darkens to pink then finally to red when it blooms. The vine’s flowers are redolent with a slightly powdery feminine floral perfume. ABOUT THE DESIGN:  An arbiter and seeker of beauty, Alessandro Michele ideated a flacon and packaging that encapsulates the fragrance’s spirit dedicated to the diversity of women.
 
“The bottle is not designed feminine to seduce men, but to keep company with the women who wear the perfume. Retro and tender because of its color, with clean, slender lines, and not crafted in transparent glass but in porcelain, a material that I love very much,” he said.
 
A vintage powder pink shades the lacquered porcelain square-shaped bottle, appliquéd with the Gucci label ribbed and framed in black. The outer carton is covered inside and outside in Herbarium, a red-and-white toile de Jouy House print of leaves, cherry branches and flowers framed in black.
  ABOUT CAMPAIGN:  Encapsulating the very meaning of Gucci Bloom, the campaign’s idea is revealed through the contemporary women of Gucci: actress Dakota Johnson, actress and model Hari Nef and artist Petra Collins. Friends of Alessandro Michele, they have a special connection with the House, their talent resonating with Gucci’s new vision. Their diverse individual beauty is shot by Glen Luchford, allowing them to radiate in the campaign’s transformative setting. They wear Gucci Bloom during their day in the city, and it changes the surrounding urbanity into an imaginary stroll in a fantastical English garden. Tea on a sidewalk flourishing with blooms, walking in an apartment overgrown with verdant plants, and swimming at dusk in a lake entangled with shimmering flowers and reeds.     
 
Dancing, strolling, rejoicing in being free and full of life: this trio embody Gucci’s new vitality and the captivating, transporting nature of Gucci Bloom.
  The fragrance will be available as a 30, 50 and 100 ml Eau de Parfum. Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",['Jasmine'],['Tuberose'],['Rangoon creeper'],"{'very weak': 98, 'weak': 103, 'moderate': 418, 'long lasting': 378, 'eternal': 140}","{'intimate': 207, 'moderate': 655, 'strong': 428, 'enormous': 322}","{'female': 161, 'more female': 23, 'unisex': 14, 'more male': 0, 'male': 1}","{'way overpriced': 18, 'overpriced': 31, 'ok': 96, 'good value': 14, 'great value': 9}"
Luna Rossa Carbon,Prada,https://fimgs.net/mdimg/perfume/375x500.43402.jpg,for men,4.27,1929,"{'fresh spicy': 100.0, 'amber': 96.799, 'lavender': 90.686, 'aromatic': 82.4611, 'mineral': 78.4154, 'metallic': 75.6812, 'citrus': 74.014, 'musky': 70.0794, 'woody': 59.0759, 'earthy': 56.4529}","Luna Rossa Carbon by Prada is a Aromatic Fougere fragrance for men. Luna Rossa Carbon was launched in 2017. The nose behind this fragrance is Daniela (Roche) Andrier. Top notes are Bergamot and Pepper; middle notes are Lavender, Metallic notes, Coal, Watery Notes and Soil tincture; base notes are Ambroxan and Patchouli.  Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Bergamot', 'Pepper']","['Lavender', 'Metallic notes', 'Coal', 'Watery Notes', 'Soil tincture']","['Ambroxan', 'Patchouli']","{'very weak': 64, 'weak': 81, 'moderate': 327, 'long lasting': 521, 'eternal': 98}","{'intimate': 171, 'moderate': 663, 'strong': 327, 'enormous': 207}","{'female': 1, 'more female': 0, 'unisex': 11, 'more male': 41, 'male': 182}","{'way overpriced': 5, 'overpriced': 11, 'ok': 91, 'good value': 106, 'great value': 8}"
Light Blue Eau Intense,Dolce&Gabbana,https://fimgs.net/mdimg/perfume/375x500.44034.jpg,for women,4.17,1932,"{'citrus': 100.0, 'musky': 76.0369, 'fresh': 70.0909, 'fruity': 68.6591, 'aromatic': 65.1988, 'amber': 54.8579, 'powdery': 53.0185, 'woody': 49.8864, 'green': 49.3295, 'white floral': 49.2898}","Light Blue Eau Intense by Dolce&Gabbana is a Floral Fruity fragrance for women. Light Blue Eau Intense was launched in 2017. The nose behind this fragrance is Olivier Cresp. Top notes are Lemon and Granny Smith apple; middle notes are Marigold and Jasmine; base notes are Musk and Amberwood. Light Blue Eau Intense reduces the intensity of citruses and enhances the floral notes of the composition. It includes a zesty accord of lemon and Granny Smith apple at the top, with the heart of marigold and jasmine, and a base of amber wood and musk. The creation is signed by perfumer Olivier Cresp.It is available as a 25, 50 and 100 ml Eau de Parfum. Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Lemon', 'Granny Smith apple']","['Marigold', 'Jasmine']","['Musk', 'Amberwood']","{'very weak': 58, 'weak': 78, 'moderate': 303, 'long lasting': 293, 'eternal': 78}","{'intimate': 157, 'moderate': 446, 'strong': 266, 'enormous': 199}","{'female': 57, 'more female': 36, 'unisex': 74, 'more male': 7, 'male': 1}","{'way overpriced': 6, 'overpriced': 17, 'ok': 77, 'good value': 35, 'great value': 9}"
Emporio Armani Stronger With You,Giorgio Armani,https://fimgs.net/mdimg/perfume/375x500.45258.jpg,for men,4.01,2359,"{'warm spicy': 100.0, 'vanilla': 89.2723, 'aromatic': 78.4256, 'sweet': 69.8005, 'woody': 69.3085, 'soft spicy': 61.0525, 'fruity': 57.0415, 'amber': 56.5971, 'ozonic': 54.9427, 'balsamic': 53.0821}","Emporio Armani Stronger With You by Giorgio Armani is a Aromatic Fougere fragrance for men. Emporio Armani Stronger With You was launched in 2017. The nose behind this fragrance is Cecile Matton. Top notes are Cardamom, Pink Pepper, Mint and Violet Leaf; middle notes are Pineapple, Sage, Melon, Cinnamon and Lavender; base notes are Vanilla, Chestnut, Cedar, Amberwood and Guaiac Wood. Armani announces a new fragrant pair and a new pillar of the Emporio Armani line which is supposed to represent ""an olfactive embodiment of authentic modern-day love."" The feminine edition Because It's You and the masculine Stronger With You come out in June 2017. Top notes: cardamom, pink pepper, violet leaves. Heart: sage. Base: crystallized chestnut, Vanilla Jungle Essence, Amberwood. Stronger With You comes in quantities of a 30, 50 and 100 ml Eau de Toilette. Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Bosanski, Română, العربية, Українська, Монгол, עברית.","['Cardamom', 'Pink Pepper', 'Mint', 'Violet Leaf']","['Pineapple', 'Sage', 'Melon', 'Cinnamon', 'Lavender']","['Vanilla', 'Chestnut', 'Cedar', 'Amberwood', 'Guaiac Wood']","{'very weak': 64, 'weak': 65, 'moderate': 210, 'long lasting': 671, 'eternal': 167}","{'intimate': 108, 'moderate': 441, 'strong': 665, 'enormous': 247}","{'female': 3, 'more female': 4, 'unisex': 36, 'more male': 114, 'male': 90}","{'way overpriced': 4, 'overpriced': 30, 'ok': 111, 'good value': 64, 'great value': 11}"
